RBP	Gene Symbol	Chromesome	Strand	Exon Start	Exon End	Upstream Exon Start	Upstream Exon End	Downstream Exon Start	Downstream Exon End	ΔPSI	Upstream Motif Presence	Exon Motif Presence	Downstream Motif Presence	Upstream CLIP-seq Peak Presence	Exon CLIP-seq Peak Presence	Downstream CLIP-seq Peak Presence
GTF2F1	UQCRH	chr1	+	46774772	46774842	46769302	46769492	46775826	46775988	0.008	×	×	√	×	×	√
HNRNPA1	SERPINF2	chr17	+	1652279	1652431	1651891	1652034	1655879	1656084	0.008	√	√	×	√	√	×
HNRNPA1	CBX3	chr7	+	26242160	26242229	26241312	26241446	26242590	26242642	0.008	×	×	×	×	√	√
IGF2BP1	SEPP1	chr5	-	42804757	42804813	42800232	42801433	42806997	42807210	0.008	×	×	×	×	√	×
LARP4	MDH2	chr7	+	75684147	75684381	75677478	75677544	75686727	75686811	0.008	×	√	×	×	√	×
LIN28B	HNRNPA2B1	chr7	-	26233194	26233314	26232870	26232993	26235466	26235529	0.008	×	×	×	×	√	×
NONO	RPS3	chr11	+	75113443	75113490	75112683	75112777	75115063	75115200	0.008	√	×	×	√	×	×
PUM2	FAM178B	chr2	-	97544152	97544230	97541762	97542045	97559662	97559788	0.008	×	×	×	×	√	×
PUM2	TPT1	chr13	-	45914846	45914920	45914128	45914319	45915176	45915505	0.008	×	×	×	×	√	×
QKI	ATP5J	chr21	-	27106480	27106686	27101941	27102112	27107163	27107215	0.008	×	√	×	×	√	×
RBM22	AFP	chr4	+	74313178	74313393	74309067	74309161	74315051	74315184	0.008	×	×	×	×	√	√
RPS5	PSMB5	chr14	-	23496953	23497038	23495066	23495584	23502576	23502883	0.008	√	×	×	×	×	√
SUGP2	NEDD8-MDP1	chr14	-	24700857	24701073	24687589	24687637	24701455	24701491	0.008	×	×	×	√	×	√
TAF15	AFP	chr4	+	74310709	74310839	74309063	74309161	74315051	74315184	0.008	×	×	×	×	√	√
XRCC6	FN1	chr2	-	216236831	216237047	216236631	216236738	216238044	216238134	0.008	×	√	×	×	√	√
XRCC6	AFP	chr4	+	74310709	74310839	74309063	74309161	74315051	74315184	0.008	√	×	√	×	√	×
XRN2	RPLP2	chr11	+	810233	810357	809646	810039	811596	811645	0.008	√	×	√	×	√	×
AUH	NCOA4	chr10	+	51576366	51576499	51565206	51565296	51579127	51579197	0.007	√	×	×	×	×	√
BUD13	RPL11	chr1	+	24021149	24021255	24020296	24020403	24022287	24022618	0.007	×	×	√	×	√	√
DDX3X	ALDOA	chr16	+	30077196	30077248	30076059	30076105	30078554	30078687	0.007	×	√	√	√	×	×
DHX30	RPLP0	chr12	-	120636356	120636542	120635124	120635265	120636656	120636803	0.007	×	×	×	×	√	×
EFTUD2	ALDOA	chr16	+	30078205	30078359	30077054	30077248	30078554	30078687	0.007	×	×	×	√	√	√
FASTKD2	RPL17	chr18	-	47018105	47018203	47017901	47017954	47018827	47018878	0.007	×	×	√	√	√	√
FTO	RPL17	chr18	-	47018115	47018203	47017886	47017954	47018827	47018849	0.007	×	×	×	×	√	√
GRSF1	NME2	chr17	+	49247297	49247410	49245602	49245704	49248847	49249103	0.007	×	×	×	×	√	×
HNRNPU	FN1	chr2	-	216236831	216237023	216236631	216236738	216238044	216238134	0.007	×	×	×	×	√	√
MTPAP	FAM178B	chr2	-	97543626	97543779	97541619	97542045	97544152	97544230	0.007	×	×	×	×	√	√
PPIL4	ZNF595	chr4	+	53788	53995	53178	53385	59322	59449	0.007	×	×	×	√	√	√
PPIL4	FAM178B	chr2	-	97543626	97543779	97541619	97542045	97544152	97544230	0.007	×	×	×	×	√	√
QKI	SEPP1	chr5	-	42804757	42804813	42801301	42801433	42806997	42807210	0.007	×	×	×	√	×	√
RBM15	FN1	chr2	-	216236831	216237047	216236631	216236738	216238044	216238134	0.007	√	×	×	×	√	√
SMNDC1	RP11-21J18.1	chr18	+	9103089	9103187	9102733	9102795	9117835	9117901	0.007	×	×	×	√	√	√
SRSF7	RPL17	chr18	-	47018115	47018203	47017901	47017954	47018827	47018849	0.007	×	×	×	×	√	√
UCHL5	RPS9	chr19	+	54710420	54710592	54710143	54710330	54711265	54711390	0.007	×	×	×	√	×	√
XRCC6	FN1	chr2	-	216236831	216237023	216236631	216236738	216238044	216238134	0.007	×	√	×	×	√	√
XRCC6	FN1	chr2	-	216236992	216237098	216236631	216236738	216238044	216238134	0.007	×	×	√	×	√	√
XRN2	ZNF595	chr4	+	53788	53995	53197	53385	59322	59449	0.007	√	×	×	√	√	√
AGGF1	RPS5	chr19	+	58904725	58904854	58899503	58899612	58905863	58905962	0.006	×	×	×	×	√	×
DHX30	ITIH2	chr10	+	7785108	7785222	7780583	7780721	7786044	7786243	0.006	×	×	×	×	√	×
EFTUD2	RPL17	chr18	-	47018115	47018203	47017886	47017954	47018827	47018849	0.006	×	×	√	√	×	√
HNRNPK	AMBP	chr9	-	116823204	116823378	116822406	116822550	116823703	116823871	0.006	√	×	×	√	√	×
HNRNPK	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	0.006	×	×	×	×	√	√
HNRNPU	FN1	chr2	-	216236831	216237047	216236631	216236738	216238044	216238134	0.006	×	×	×	×	√	√
QKI	SEPP1	chr5	-	42804757	42804902	42800213	42801433	42806997	42807210	0.006	×	×	×	√	√	√
RBM15	FN1	chr2	-	216236831	216237023	216236631	216236738	216238044	216238134	0.006	√	×	×	×	√	√
RBM22	AFP	chr4	+	74310709	74310839	74309063	74309161	74315051	74315184	0.006	×	×	√	×	√	√
RBM22	DHRS2	chr14	+	24109483	24109640	24109002	24109104	24112360	24112428	0.006	×	×	×	×	√	√
RBM22	RPS9	chr19	+	54710395	54710592	54710143	54710330	54711265	54711515	0.006	×	×	×	√	×	√
SF3A3	APOA1	chr11	-	116707716	116707939	116706466	116707127	116708060	116708123	0.006	×	×	×	√	√	×
SF3A3	APOA1	chr11	-	116707716	116707907	116706466	116707127	116708060	116708123	0.006	×	×	×	√	√	×
SRSF7	RPL17	chr18	-	47018115	47018222	47017886	47017954	47018827	47018849	0.006	×	×	×	×	√	√
TAF15	AHSG	chr3	+	186337645	186337729	186336300	186336426	186338374	186339107	0.006	×	×	×	×	√	√
XRN2	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	0.006	×	√	√	×	√	√
GTF2F1	UQCRH	chr1	+	46774772	46774815	46769369	46769492	46775826	46775988	0.005	×	×	√	×	×	√
GTF2F1	UQCRH	chr1	+	46774772	46774799	46769380	46769492	46775826	46775988	0.005	×	×	√	×	×	√
HNRNPU	FN1	chr2	-	216236899	216237098	216236631	216236738	216238044	216238134	0.005	×	×	×	×	√	√
HNRNPU	AHSG	chr3	+	186336079	186336177	186334975	186335139	186336324	186336426	0.005	×	×	×	√	×	√
HNRNPU	FN1	chr2	-	216236975	216237098	216236631	216236738	216238044	216238134	0.005	×	×	×	×	√	×
NONO	RPL27	chr17	+	41151949	41152119	41150493	41150848	41154689	41154800	0.005	√	×	×	×	√	×
RBM15	FAM178B	chr2	-	97542272	97542425	97541762	97542045	97543626	97543779	0.005	×	×	×	√	√	√
RBM15	UQCRB	chr8	-	97243453	97243743	97242942	97243360	97244001	97244168	0.005	×	×	×	×	√	√
SMNDC1	UQCRH	chr1	+	46774772	46774815	46769369	46769492	46775826	46775988	0.005	×	×	×	×	√	√
TIA1	RPL17	chr18	-	47018115	47018203	47017901	47017954	47018827	47018849	0.005	×	×	×	√	×	√
CSTF2T	RPL11	chr1	+	24021186	24021281	24020296	24020403	24022287	24022618	0.004	√	×	√	×	√	×
PUM2	HNRNPA2B1	chr7	-	26233194	26233330	26232870	26232993	26235466	26235529	0.004	×	×	×	×	√	×
GRSF1	AFP	chr4	+	74320952	74321007	74319481	74319614	74321347	74321891	0.003	×	×	×	×	√	×
U2AF2	DHRS2	chr14	+	24109483	24109640	24108967	24109104	24112360	24112428	0.002	×	×	×	√	√	√
AGGF1	RPLP0	chr12	-	120636356	120636542	120635124	120635265	120636656	120636803	-0.003	×	×	×	×	√	×
AUH	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.004	√	×	×	×	√	√
DDX3X	APOA1	chr11	-	116707716	116707939	116706466	116707127	116708060	116708145	-0.004	×	×	×	√	√	×
RBM15	RPLP0	chr12	-	120636347	120636542	120635124	120635265	120636656	120636803	-0.004	×	×	×	×	√	√
TAF15	FABP1	chr2	-	88425694	88425867	88422538	88424105	88427469	88427568	-0.004	×	√	×	×	√	×
AUH	ITIH2	chr10	+	7747070	7747145	7745330	7745481	7749163	7749196	-0.005	√	×	×	×	√	×
DDX59	DHRS2	chr14	+	24108035	24108213	24105575	24105981	24108387	24108565	-0.005	×	√	×	×	√	×
DHX30	DHRS2	chr14	+	24108035	24108213	24105575	24105981	24108387	24108565	-0.005	×	×	×	×	√	×
EFTUD2	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.005	×	×	×	×	√	√
EIF3D	APOC3	chr11	+	116701285	116701353	116700607	116700656	116701488	116701612	-0.005	×	×	×	×	√	√
U2AF1	RPL17	chr18	-	47018115	47018203	47017886	47017954	47018827	47018849	-0.005	√	×	√	×	√	√
XRCC6	DHRS2	chr14	+	24108035	24108213	24105575	24105981	24108387	24108565	-0.005	×	×	×	√	√	√
CDC40	FN1	chr2	-	216257800	216257926	216256354	216256537	216259250	216259395	-0.006	×	×	×	√	×	√
DHX30	FN1	chr2	-	216236992	216237098	216236631	216236738	216238044	216238134	-0.006	×	×	×	×	√	√
DHX30	FN1	chr2	-	216236975	216237098	216236631	216236738	216238044	216238134	-0.006	×	×	×	×	√	√
EIF3D	APOC3	chr11	+	116701208	116701353	116700630	116700656	116701488	116701612	-0.006	×	×	×	×	√	√
FAM120A	DHRS2	chr14	+	24108035	24108213	24105575	24105981	24108387	24108565	-0.006	√	×	×	×	√	√
GRSF1	AHSG	chr3	+	186337645	186337729	186336300	186336426	186338374	186339089	-0.006	×	×	×	×	√	×
HNRNPA1	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.006	×	×	×	×	√	√
HNRNPU	HMGN1	chr21	-	40719304	40719404	40717060	40717200	40720217	40720265	-0.006	×	×	×	√	√	×
LIN28B	RPL17	chr18	-	47018115	47018203	47017886	47017954	47018827	47018849	-0.006	×	×	×	×	√	√
PCBP2	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.006	×	√	×	×	√	√
PTBP1	GPX3	chr5	+	150400388	150400814	150400166	150400302	150404900	150405054	-0.006	×	√	×	√	√	×
SF3A3	HSP90B1	chr12	+	104337311	104337351	104336304	104337097	104337515	104337652	-0.006	×	×	×	√	×	√
SF3B4	PPIA	chr7	+	44838346	44838503	44836279	44836392	44838845	44838876	-0.006	×	×	√	√	×	√
SRSF1	RPS25	chr11	-	118888667	118888795	118888071	118888255	118888991	118889040	-0.006	×	√	×	√	√	×
SRSF9	A2M	chr12	-	9264972	9265123	9264754	9264807	9265955	9266139	-0.006	×	×	×	√	√	√
TARDBP	RPL17	chr18	-	47018115	47018203	47017886	47017954	47018827	47018849	-0.006	×	×	√	×	×	√
TIA1	RPL30	chr8	-	99057170	99057221	99054872	99055003	99057574	99057627	-0.006	×	×	×	√	×	√
TROVE2	FABP1	chr2	-	88425694	88425867	88422547	88424105	88427469	88427635	-0.006	×	√	×	×	√	×
AGGF1	RP11-21J18.1	chr18	+	9103089	9103322	9102733	9102795	9117835	9117901	-0.007	×	×	×	×	√	×
DDX3X	RPS15A	chr16	-	18799384	18799427	18796059	18796145	18800302	18800440	-0.007	×	×	×	√	√	×
DKC1	SERPINA3	chr14	+	95085662	95085805	95080770	95081421	95088677	95088828	-0.007	×	×	×	√	√	×
EFTUD2	BPIFB2	chr20	+	31601323	31601469	31600608	31600713	31601615	31601762	-0.007	×	×	×	×	×	√
FASTKD2	ALB	chr4	+	74270797	74270890	74270003	74270123	74272345	74272478	-0.007	×	×	√	×	√	×
PCBP2	FN1	chr2	-	216236975	216237098	216236631	216236738	216238044	216238134	-0.007	×	√	×	×	√	√
PTBP1	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.007	×	×	√	×	√	√
SF3B4	RPL10	chrX	+	153628804	153628967	153628143	153628282	153629042	153629152	-0.007	√	×	√	√	×	√
U2AF1	SERPINA3	chr14	+	95085531	95085805	95080770	95081421	95088677	95088828	-0.007	×	×	√	√	√	√
U2AF2	DHRS2	chr14	+	24109002	24109104	24105581	24105981	24112360	24112428	-0.007	×	×	×	×	√	√
AGGF1	ALDOA	chr16	+	30077196	30077248	30076075	30076105	30078554	30078687	-0.008	×	×	√	√	×	√
AGGF1	GNAS	chr20	+	57475003	57475085	57470666	57470739	57478585	57478640	-0.008	√	×	×	√	√	√
AUH	MATN3	chr2	-	20202921	20203047	20201715	20201841	20205504	20206071	-0.008	×	√	×	×	√	×
BCCIP	APOA2	chr1	-	161193139	161193185	161192707	161192840	161193384	161193421	-0.008	√	×	√	×	×	√
EIF3D	APOC3	chr11	+	116701291	116701353	116700607	116700656	116701488	116701595	-0.008	×	×	×	×	√	√
FTO	SRRM2	chr16	+	2808985	2809048	2808470	2808548	2809140	2809173	-0.008	×	×	×	×	√	×
GRSF1	PCBP2	chr12	+	53853055	53853187	53849668	53849785	53854798	53854927	-0.008	×	×	×	×	√	×
HNRNPM	TF	chr3	+	133467255	133467513	133465236	133465327	133472438	133472547	-0.008	√	√	×	×	√	×
LIN28B	HSPD1	chr2	-	198359386	198359476	198358871	198358974	198360017	198360100	-0.008	×	×	√	×	√	×
SF3B4	EIF1	chr17	+	39846029	39846193	39845144	39845321	39846339	39846441	-0.008	×	×	√	√	×	√
TIA1	CBX3	chr7	+	26242160	26242229	26241312	26241446	26242590	26242642	-0.008	×	×	×	√	√	×
XRCC6	SERPINA3	chr14	+	95085531	95085805	95080770	95081421	95088677	95088828	-0.008	×	√	×	×	√	×
BCCIP	ETFB	chr19	-	51856385	51856544	51853582	51853645	51857403	51857562	-0.009	×	×	√	×	√	√
CSTF2T	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.009	×	×	×	×	√	√
DDX59	AMBP	chr9	-	116831978	116832025	116824956	116825038	116835204	116835306	-0.009	×	√	√	×	√	×
DHX30	BPIFB2	chr20	+	31607679	31607816	31607385	31607556	31608133	31608201	-0.009	×	×	×	×	√	×
DKC1	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.009	×	×	×	×	√	√
GRSF1	APOB	chr2	-	21247836	21247996	21247041	21247748	21249659	21249836	-0.009	√	×	×	×	√	×
HNRNPK	TF	chr3	+	133467300	133467428	133465171	133465327	133472438	133472754	-0.009	×	×	×	√	√	×
HNRNPU	APOA1	chr11	-	116707716	116707865	116706466	116707127	116708060	116708145	-0.009	√	×	√	×	√	×
HNRNPU	FN1	chr2	-	216257800	216257926	216256354	216256537	216259250	216259442	-0.009	√	√	√	×	×	√
LIN28B	ATP5B	chr12	-	57033763	57033976	57032889	57033091	57036241	57036364	-0.009	√	×	×	×	√	×
LIN28B	DHRS2	chr14	+	24108035	24108213	24105575	24105981	24108387	24108565	-0.009	×	×	×	×	√	×
LIN28B	OAZ1	chr19	+	2271383	2271529	2269513	2269743	2271780	2272261	-0.009	×	×	√	×	√	×
LSM11	EIF3M	chr11	+	32608557	32608690	32605377	32605475	32610139	32610473	-0.009	×	×	×	×	√	×
NKRF	APLP2	chr11	+	130005457	130005610	130003523	130003623	130010292	130010378	-0.009	√	×	×	×	√	×
NONO	CBX3	chr7	+	26242160	26242229	26241312	26241446	26242590	26242642	-0.009	×	×	×	√	√	×
PPIG	RPS21	chr20	+	60962907	60962970	60962666	60962730	60963364	60963420	-0.009	√	×	×	√	√	×
PPIG	SLC6A8	chrX	+	152958495	152958630	152957429	152957562	152958717	152958821	-0.009	×	×	×	√	√	√
PRPF8	RPS25	chr11	-	118888667	118888763	118888071	118888255	118888991	118889400	-0.009	×	×	√	√	×	√
PTBP1	GPX3	chr5	+	150400388	150400555	150400164	150400302	150404900	150405054	-0.009	×	×	√	√	×	×
PUM2	EIF2A	chr3	+	150280343	150280447	150276174	150276249	150281301	150281401	-0.009	×	×	×	×	√	×
QKI	NCOA4	chr10	+	51576310	51576499	51565206	51565296	51579127	51579282	-0.009	×	×	×	√	×	√
QKI	DHRS2	chr14	+	24108035	24108213	24105575	24105981	24108387	24108565	-0.009	×	×	×	√	√	×
RBM15	DSCR8	chr21	+	39494665	39494762	39494405	39494505	39528397	39528605	-0.009	×	×	×	√	√	×
RPS5	ITIH3	chr3	+	52832233	52832389	52831832	52831946	52832981	52833107	-0.009	√	×	×	√	√	×
SERBP1	ATP5B	chr12	-	57038954	57039137	57038564	57038739	57039620	57039798	-0.009	×	×	×	×	×	√
SRSF1	DHRS2	chr14	+	24108035	24108213	24105575	24105981	24108387	24108565	-0.009	×	×	√	√	√	√
SRSF1	RPS9	chr19	+	54710420	54710592	54710143	54710330	54711265	54711390	-0.009	×	√	×	√	√	×
SRSF7	WBSCR22	chr7	+	73111795	73111846	73108321	73108380	73111934	73112024	-0.009	×	×	×	×	×	√
TAF15	SNRPD1	chr18	+	19202685	19202762	19192227	19192404	19203708	19203900	-0.009	×	×	×	×	√	×
TAF15	RBM3	chrX	+	48434309	48434471	48433948	48434055	48434701	48434807	-0.009	×	√	×	√	√	√
TAF15	FN1	chr2	-	216236831	216237098	216236631	216236738	216238044	216238134	-0.009	×	×	×	×	√	√
U2AF1	OAZ1	chr19	+	2271383	2271529	2269513	2269743	2271780	2272261	-0.009	×	√	√	√	√	√
AGGF1	CIZ1	chr9	-	130940647	130940769	130939844	130940042	130940987	130941694	-0.01	×	√	×	√	√	×
AGGF1	HSP90B1	chr12	+	104331442	104331584	104327733	104328065	104332117	104332237	-0.01	×	√	√	×	√	×
AGGF1	SNRNP70	chr19	+	49605370	49605430	49604646	49604728	49607890	49607992	-0.01	×	×	×	√	×	√
AGGF1	TAF15	chr17	+	34160910	34160945	34151081	34151202	34161569	34161602	-0.01	√	×	×	×	√	×
DDX3X	ATP5B	chr12	-	57038954	57039137	57038564	57038739	57039620	57039798	-0.01	√	×	×	×	√	√
DDX3X	APOA2	chr1	-	161192707	161193056	161192082	161192312	161193139	161193185	-0.01	×	×	×	√	√	×
DDX59	ETV4	chr17	-	41610554	41610716	41610041	41610307	41611226	41611353	-0.01	×	√	×	×	√	×
EFTUD2	FAM178B	chr2	-	97559920	97559965	97559662	97559788	97560797	97560879	-0.01	√	√	×	√	×	√
EFTUD2	RPL30	chr8	-	99057170	99057342	99054872	99055003	99057574	99057627	-0.01	×	×	×	√	√	×
EFTUD2	RPS16	chr19	-	39924161	39924198	39923862	39924058	39924304	39924401	-0.01	×	×	×	√	×	√
EIF3D	SLC6A8	chrX	+	152958495	152958630	152957429	152957562	152958717	152958821	-0.01	×	×	×	√	√	√
EIF3D	AHSG	chr3	+	186336079	186336177	186334975	186335139	186336324	186336426	-0.01	×	×	×	×	×	√
EIF3D	BPIFB2	chr20	+	31601323	31601469	31600608	31600713	31601615	31601762	-0.01	×	√	×	×	×	√
FTO	EIF3E	chr8	-	109252186	109252295	109248389	109248432	109260841	109260945	-0.01	×	×	×	×	√	×
HNRNPA1	CBX3	chr7	+	26242590	26242642	26240781	26241181	26245987	26246130	-0.01	×	×	√	√	×	√
HNRNPU	NHP2	chr5	-	177577888	177577994	177576460	177576839	177580491	177580561	-0.01	√	√	√	×	×	√
LIN28B	HSPD1	chr2	-	198359386	198359476	198358871	198358974	198360017	198360088	-0.01	×	×	√	×	√	×
LIN28B	TBCA	chr5	-	76989090	76989177	76987091	76987323	77004066	77004172	-0.01	√	√	×	×	√	×
LSM11	SNRNP70	chr19	+	49605370	49606844	49604646	49604728	49607890	49607992	-0.01	×	×	×	×	√	√
PPIL4	DDX5	chr17	-	62496666	62496891	62495739	62496444	62498127	62498187	-0.01	×	×	×	√	√	×
PTBP1	FN1	chr2	-	216236831	216237023	216236631	216236738	216238044	216238134	-0.01	×	×	√	×	√	√
PUM2	NHP2	chr5	-	177577888	177577994	177576460	177576839	177580491	177580561	-0.01	×	×	×	×	√	×
RBM15	APOA1	chr11	-	116707716	116707939	116706466	116707127	116708060	116708123	-0.01	×	×	×	√	√	×
RBM15	DSCR8	chr21	+	39494661	39494762	39494405	39494505	39528397	39528468	-0.01	×	×	×	√	√	×
SF3A3	AMBP	chr9	-	116831978	116832025	116824956	116825038	116835204	116835306	-0.01	×	×	×	√	√	×
SF3A3	RPS9	chr19	+	54710143	54710330	54705354	54705477	54711265	54711515	-0.01	×	×	×	√	×	√
SF3B4	YBX1	chr1	+	43161869	43161959	43159160	43159194	43162312	43162615	-0.01	√	×	×	√	×	√
SF3B4	HNRNPA3	chr2	+	178081230	178081320	178080705	178080916	178081403	178081620	-0.01	×	×	×	√	×	√
SF3B4	NPM1	chr5	+	170827842	170827929	170827156	170827214	170832305	170832407	-0.01	×	×	×	√	×	√
SMNDC1	HMGN1	chr21	-	40717755	40717884	40717064	40717200	40720217	40720265	-0.01	√	×	×	√	×	×
SND1	RPS15A	chr16	-	18799384	18799427	18796059	18796145	18800302	18800440	-0.01	×	×	√	√	×	×
TAF15	A2M	chr12	-	9264972	9265151	9264754	9264807	9265955	9266139	-0.01	√	×	×	√	√	√
TAF15	A2M	chr12	-	9264972	9265123	9264754	9264807	9265955	9266139	-0.01	√	×	×	√	√	√
TAF15	RPL17	chr18	-	47018105	47018203	47017886	47017954	47018827	47018878	-0.01	√	×	×	√	√	√
TAF15	AMBP	chr9	-	116823204	116823378	116822406	116822550	116823703	116823871	-0.01	×	√	×	×	√	√
TARDBP	NAP1L1	chr12	-	76462688	76462774	76461150	76461253	76478346	76478446	-0.01	×	×	√	×	√	√
U2AF1	ITIH3	chr3	+	52832233	52832289	52831832	52831946	52832981	52833107	-0.01	×	×	√	√	√	√
U2AF1	ANPEP	chr15	-	90348176	90348448	90347721	90347848	90348551	90348603	-0.01	√	×	√	×	√	√
U2AF1	ANPEP	chr15	-	90348352	90348448	90347721	90347848	90348551	90348603	-0.01	√	×	√	×	√	√
U2AF1	SEPP1	chr5	-	42804757	42804875	42800213	42801433	42811937	42811994	-0.01	×	×	×	×	√	√
UCHL5	SNHG5	chr6	-	86387512	86387593	86387046	86387210	86387671	86387750	-0.01	×	×	√	×	√	√
AGGF1	MIR4435-1HG	chr2	-	112227179	112227564	112187019	112187197	112252461	112252602	-0.011	×	√	×	×	√	√
AGGF1	EIF3H	chr8	-	117738254	117738411	117671051	117671219	117767904	117768060	-0.011	×	√	×	×	√	×
AGGF1	RPS3	chr11	+	75113395	75113490	75112683	75112777	75115063	75115251	-0.011	×	×	√	×	√	×
AGGF1	SNRNP70	chr19	+	49605370	49605442	49604646	49604728	49607890	49607992	-0.011	×	×	×	√	×	√
AGGF1	PICALM	chr11	-	85685750	85685855	85669856	85670103	85692171	85692271	-0.011	√	×	×	×	√	×
AUH	FN1	chr2	-	216236831	216237023	216236631	216236738	216238044	216238134	-0.011	×	×	×	×	√	√
AUH	RPL10	chrX	+	153628815	153628967	153628143	153628282	153629042	153630680	-0.011	×	×	×	√	×	×
AUH	HNRNPA2B1	chr7	-	26233194	26233218	26232870	26232993	26235466	26235529	-0.011	×	×	×	√	×	×
BCCIP	APOA1	chr11	-	116707716	116707843	116706466	116707127	116708060	116708141	-0.011	√	×	√	×	√	×
BCCIP	APOA1	chr11	-	116707716	116707847	116706466	116707127	116708060	116708123	-0.011	√	×	√	×	√	×
BCCIP	APOA1	chr11	-	116707716	116707829	116706466	116707127	116708060	116708123	-0.011	√	×	√	×	√	×
BCCIP	APOA1	chr11	-	116707716	116707865	116706466	116707127	116708060	116708145	-0.011	√	×	√	×	√	×
BUD13	AFP	chr4	+	74310709	74310839	74309063	74309161	74315051	74315184	-0.011	√	√	√	×	√	√
BUD13	FDFT1	chr8	+	11687752	11687929	11683532	11683724	11689026	11689179	-0.011	×	√	×	×	√	√
BUD13	ACADVL	chr17	+	7127464	7127562	7127131	7127388	7127639	7127712	-0.011	×	×	×	√	√	×
BUD13	OAZ1	chr19	+	2271383	2271529	2269513	2269743	2271780	2272261	-0.011	×	×	√	√	√	√
CSTF2T	SLC6A8	chrX	+	152958495	152958630	152957429	152957562	152958717	152958821	-0.011	√	×	√	√	×	×
DDX3X	GPX3	chr5	+	150400388	150400814	150400166	150400302	150404900	150405054	-0.011	×	√	×	√	×	×
EFTUD2	BPIFB2	chr20	+	31607679	31607816	31607385	31607556	31608133	31608201	-0.011	×	×	×	√	√	√
EFTUD2	APOC3	chr11	+	116701285	116701353	116700607	116700656	116701488	116701612	-0.011	×	×	×	√	×	√
FTO	RPS3	chr11	+	75113347	75113490	75112683	75112777	75115063	75115251	-0.011	×	×	×	×	√	×
HNRNPK	MIR4435-1HG	chr2	-	112227179	112227564	112187019	112187197	112252461	112252602	-0.011	√	√	×	×	√	×
HNRNPU	UBE2V1	chr20	-	48700665	48700791	48697660	48699451	48713208	48713357	-0.011	√	×	×	√	×	√
LIN28B	HSPD1	chr2	-	198359380	198359495	198358917	198358974	198360017	198360100	-0.011	×	×	√	×	√	×
LSM11	C17orf76-AS1	chr17	+	16344387	16344444	16343498	16343567	16344681	16345146	-0.011	√	√	×	×	√	√
LSM11	NAP1L1	chr12	-	76453556	76453658	76449812	76449941	76453917	76454059	-0.011	×	×	×	×	√	×
PTBP1	FN1	chr2	-	216236831	216237047	216236631	216236738	216238044	216238134	-0.011	×	×	√	×	√	√
RBM15	RPL4	chr15	-	66794200	66794250	66793712	66793842	66794949	66795088	-0.011	×	×	×	√	√	√
RBM15	SREBF2	chr22	+	42269801	42270023	42266892	42267039	42271340	42271455	-0.011	×	×	×	×	√	√
RBM15	NRD1	chr1	-	52255239	52255329	52254883	52255105	52256204	52256321	-0.011	×	×	×	×	√	√
RBM15	DSCR8	chr21	+	39494621	39494762	39494405	39494505	39528397	39528468	-0.011	×	×	×	√	√	×
RBM15	SNHG1	chr11	-	62622895	62622938	62622604	62622688	62623336	62623353	-0.011	×	×	×	√	×	√
RBM22	CCT3	chr1	-	156304503	156304566	156303337	156303434	156304658	156304709	-0.011	×	×	×	√	×	√
RBM22	BAX	chr19	+	49458943	49459090	49458804	49458856	49459454	49459590	-0.011	√	×	×	√	√	×
SF3A3	RPN2	chr20	+	35826799	35826895	35812582	35812776	35827452	35827628	-0.011	×	×	×	√	√	×
SF3A3	SERPINA3	chr14	+	95085531	95085805	95080770	95081421	95088677	95088828	-0.011	×	×	×	√	√	×
TARDBP	EIF3H	chr8	-	117738254	117738411	117671051	117671219	117767904	117768060	-0.011	√	×	√	×	√	×
TROVE2	FN1	chr2	-	216257653	216257764	216256364	216256537	216259250	216259442	-0.011	×	×	×	×	√	√
U2AF1	SERPINA3	chr14	+	95085662	95085805	95080770	95081421	95088677	95088828	-0.011	×	×	√	√	√	√
U2AF1	SERPINA3	chr14	+	95085659	95085805	95080770	95081421	95088677	95088828	-0.011	×	×	√	√	√	√
U2AF2	UBE2B	chr5	+	133724667	133724743	133724015	133724104	133725915	133726012	-0.011	×	×	√	√	×	√
U2AF2	NKD1	chr16	+	50642204	50642271	50583332	50583466	50655512	50655619	-0.011	√	×	×	√	√	√
U2AF2	PIH1D1	chr19	-	49951257	49951319	49950966	49951165	49952731	49952911	-0.011	√	×	×	√	×	√
UCHL5	SSB	chr2	+	170661983	170662087	170657461	170657536	170662174	170662349	-0.011	×	√	×	×	√	√
UCHL5	NAP1L1	chr12	-	76462688	76462774	76461150	76461253	76478346	76478446	-0.011	×	√	×	×	√	√
AGGF1	SRRM2	chr16	+	2808988	2809048	2808470	2808548	2809140	2809173	-0.012	√	√	√	×	√	×
